Symbol,Date,Time,CompanyName,Title,sentiment_label,sentiment_score,sentiment_category,sentiment_sub_category,sentiment_explanation,sentiment_flags
SHEL,2023-03-02,2:57 PM,Shell Pakistan Limited,Board Meeting,neutral,0.98,Corporate Event,board_meeting_notice,Notice of board of directors meeting,board_meeting
ATRL,2023-03-01,9:34 AM,Attock Refinery Limited,"Transmission of Quarterly Report for the Period Ended December 31, 2022",neutral,0.97,Regulatory Filing,report_transmission,Transmission of annual or periodic financial report,financial_report
ENGRO,2023-03-01,9:15 AM,Engro Corporation Limited,Reporting of Shares Purchased (Buy-Back) by Engro Corporation Limited,neutral,0.6,Admin,unclassified,No matching rule — treated as neutral admin filing,unclassified
HBL,2023-03-01,2:02 PM,Habib Bank Limited,"Disclosure of Interest by a Director CEO, or Executive of a listed company and their Spouses and the Substantial Shareholders u/c 5.6.1.(d) of PSX Regulations",neutral,0.99,Regulatory Filing,director_disclosure,Statutory disclosure of director shareholding interest,director_disclosure
INIL,2023-03-01,12:42 PM,International Industries Limited,"Disclosure of Interest by a Director CEO, or Executive of a listed company and their Spouses and the Substantial Shareholders u/c 5.6.1.(d) of PSX Regulations",neutral,0.99,Regulatory Filing,director_disclosure,Statutory disclosure of director shareholding interest,director_disclosure
LUCK,2023-03-01,9:15 AM,Lucky Cement Limited,Purchase (Buy-Back) by Lucky Cement Limited of its own shares on 28-02-2023,neutral,0.6,Admin,unclassified,No matching rule — treated as neutral admin filing,unclassified
POL,2023-03-01,9:19 AM,Pakistan Oilfields Limited,"Transmission of Quarterly Report for the Period Ended December 31, 2022",neutral,0.97,Regulatory Filing,report_transmission,Transmission of annual or periodic financial report,financial_report
PPL,2023-03-01,12:11 PM,Pakistan Petroleum Limited,Transmission of Quarterly Report for the Period Ended 31 December 2022,neutral,0.97,Regulatory Filing,report_transmission,Transmission of annual or periodic financial report,financial_report
ATRL,2023-02-28,9:18 AM,Attock Refinery Limited,"FINANCIAL RESULTS FOR THE SECOND QUARTER AND SIX MONTHS PERIOD ENDED DECEMBER 31, 2022",neutral,0.95,Regulatory Filing,financial_results_filing,Submission of financial results — no sentiment signal in title alone,financial_results
EFERT,2023-02-28,3:05 PM,Engro Fertilizers Limited,Disclosure of Material Information,neutral,0.88,Regulatory Filing,material_information,Material information disclosure or media clarification,material_info
ENGRO,2023-02-28,9:15 AM,Engro Corporation Limited,Reporting of Shares Purchased (Buy-Back) by Engro Corporation Limited,neutral,0.6,Admin,unclassified,No matching rule — treated as neutral admin filing,unclassified
HUBC,2023-02-28,10:54 AM,The Hub Power Company Limited,Corporate Briefing Session - The Hub Power Company Limited,neutral,0.95,Corporate Event,corporate_briefing,Corporate or investor briefing session,corporate_briefing
HUBC,2023-02-28,9:15 AM,The Hub Power Company Limited,Transmission of Quarterly Report for the Period Ended 2022-12-31,neutral,0.97,Regulatory Filing,report_transmission,Transmission of annual or periodic financial report,financial_report
ILP,2023-02-28,2:29 PM,Interloop Limited,"Disclosure of Interest by a Director CEO, or Executive of a listed company and their Spouses and the Substantial Shareholders u/c 5.6.1.(d) of PSX Regulations",neutral,0.99,Regulatory Filing,director_disclosure,Statutory disclosure of director shareholding interest,director_disclosure
INIL,2023-02-28,11:01 AM,International Industries Limited,"Disclosure of Interest by a Director CEO, or Executive of a listed company and their Spouses and the Substantial Shareholders u/c 5.6.1.(d) of PSX Regulations",neutral,0.99,Regulatory Filing,director_disclosure,Statutory disclosure of director shareholding interest,director_disclosure
LUCK,2023-02-28,9:15 AM,Lucky Cement Limited,Purchase (Buy-Back) by Lucky Cement Limited of its own shares on 27-02-2023,neutral,0.6,Admin,unclassified,No matching rule — treated as neutral admin filing,unclassified
MLCF,2023-02-28,10:21 AM,Maple Leaf Cement Factory Limited,Transmission of Quarterly Report for the Period Ended 31.12.2022,neutral,0.97,Regulatory Filing,report_transmission,Transmission of annual or periodic financial report,financial_report
NBP,2023-02-28,2:48 PM,National Bank of Pakistan,"FINANCIAL RESULTS FOR THE YEAR ENDED DECEMBER 31, 2022",neutral,0.95,Regulatory Filing,financial_results_filing,Submission of financial results — no sentiment signal in title alone,financial_results
OGDC,2023-02-28,2:46 PM,Oil & Gas Development Company Limited,"Transmission of Half Yearly Report for the Period Ended December 31, 2022",neutral,0.94,Regulatory Filing,accounts_transmission,Transmission or submission of half-yearly or quarterly report,half_yearly_report
POL,2023-02-28,9:31 AM,Pakistan Oilfields Limited,"Financial Results for the half year ended December 31, 2022",neutral,0.95,Regulatory Filing,financial_results_filing,Submission of financial results — no sentiment signal in title alone,financial_results
PSO,2023-02-28,11:58 AM,Pakistan State Oil Company Limited,"Transmission of Half Yearly Report for the period ended December 31, 2022",neutral,0.94,Regulatory Filing,accounts_transmission,Transmission or submission of half-yearly or quarterly report,half_yearly_report
SEARL,2023-02-28,1:55 PM,The Searle Company Limited,Financial Results for the Quarter Ended 2022-12-31,neutral,0.95,Regulatory Filing,financial_results_filing,Submission of financial results — no sentiment signal in title alone,financial_results
TGL,2023-02-28,12:37 PM,Tariq Glass Industries Limited,"Transmission of Quarterly Report for the Period Ended December 31, 2022",neutral,0.97,Regulatory Filing,report_transmission,Transmission of annual or periodic financial report,financial_report
BAFL,2023-02-27,2:00 PM,Bank Alfalah Limited,Newspaper Clippings in respect Notice of Annual General Meeting,neutral,0.98,Corporate Event,agm_egm_notice,Notice of Annual or Extraordinary General Meeting,agm_egm
BAFL,2023-02-27,9:47 AM,Bank Alfalah Limited,"Transmission of Annual Report for the Year Ended December 31, 2022",neutral,0.97,Regulatory Filing,report_transmission,Transmission of annual or periodic financial report,financial_report
BAHL,2023-02-27,12:15 PM,Bank AL Habib Limited,BAHL - Notice of Annual General Meeting,neutral,0.98,Corporate Event,agm_egm_notice,Notice of Annual or Extraordinary General Meeting,agm_egm
BAHL,2023-02-27,12:13 PM,Bank AL Habib Limited,"BAHL-Transmission of Annual Report for the Year Ended December 31, 2022",neutral,0.97,Regulatory Filing,report_transmission,Transmission of annual or periodic financial report,financial_report
CHCC,2023-02-27,2:43 PM,Cherat Cement Company Limited,"Transmission of Quarterly Report for the Period Ended December 31, 2022",neutral,0.97,Regulatory Filing,report_transmission,Transmission of annual or periodic financial report,financial_report
DGKC,2023-02-27,11:05 AM,D.G. Khan Cement Company Limited,"Transmission of Quarterly Report for the Period Ended December 31, 2022",neutral,0.97,Regulatory Filing,report_transmission,Transmission of annual or periodic financial report,financial_report
ENGRO,2023-02-27,9:15 AM,Engro Corporation Limited,Reporting of Shares Purchased (Buy-Back) by Engro Corporation Limited,neutral,0.6,Admin,unclassified,No matching rule — treated as neutral admin filing,unclassified
FCCL,2023-02-27,11:33 AM,Fauji Cement Company Limited,Transmission of Half-Yearly Accounts for the Period Ended 31st Dec 2022,neutral,0.94,Regulatory Filing,accounts_transmission,Transmission or submission of half-yearly or quarterly report,half_yearly_report
HUBC,2023-02-27,3:13 PM,The Hub Power Company Limited,Intimation for Book Closure 5th Sukuk Issue-The Hub Power Company Limited,neutral,0.97,Admin,book_closure,Book closure notice for dividend or entitlement,book_closure
HUBC,2023-02-27,12:38 PM,The Hub Power Company Limited,Financial Results For The Half Yearly Ended December 31 2022,neutral,0.95,Regulatory Filing,financial_results_filing,Submission of financial results — no sentiment signal in title alone,financial_results
HUBC,2023-02-27,11:50 AM,The Hub Power Company Limited,Financial Results for the Half Yearly Ended December 31 2022 REVOKED,neutral,0.82,Admin,filing_revoked,Previous filing revoked — usually an administrative correction,revocation
LUCK,2023-02-27,9:15 AM,Lucky Cement Limited,Purchase (Buy-Back) by Lucky Cement Limited of its own shares on 24-02-2023,neutral,0.6,Admin,unclassified,No matching rule — treated as neutral admin filing,unclassified
NBP,2023-02-27,10:37 AM,National Bank of Pakistan,APPOINTMENT OF DIRECTOR ON THE BOARD OF NBP,neutral,0.94,Corporate Event,appointment,Appointment or reappointment of board member or executive,appointment
POL,2023-02-27,3:10 PM,Pakistan Oilfields Limited,Board Meeting In Progress,neutral,0.98,Corporate Event,board_meeting_notice,Notice of board of directors meeting,board_meeting
PPL,2023-02-27,1:40 PM,Pakistan Petroleum Limited,Declaration of Interim Cash Dividend 2022-23,neutral,0.6,Admin,unclassified,No matching rule — treated as neutral admin filing,unclassified
PPL,2023-02-27,12:01 PM,Pakistan Petroleum Limited,Financial Results for the Period Ended 31 December 2022,neutral,0.95,Regulatory Filing,financial_results_filing,Submission of financial results — no sentiment signal in title alone,financial_results
ENGRO,2023-02-24,9:14 AM,Engro Corporation Limited,Reporting of Shares Purchased (Buy-Back) by Engro Corporation Limited,neutral,0.6,Admin,unclassified,No matching rule — treated as neutral admin filing,unclassified
HBL,2023-02-24,12:39 PM,Habib Bank Limited,"Announcement of Financial Results for the Year Ended December 31, 2022",neutral,0.95,Regulatory Filing,financial_results_filing,Submission of financial results — no sentiment signal in title alone,financial_results
HUBC,2023-02-24,12:00 PM,The Hub Power Company Limited,Corporate Briefing Session - The Hub Power Company Limited,neutral,0.95,Corporate Event,corporate_briefing,Corporate or investor briefing session,corporate_briefing
ILP,2023-02-24,12:15 PM,Interloop Limited,"Disclosure of Interest by a Director CEO, or Executive of a listed company and their Spouses and the Substantial Shareholders u/c 5.6.1.(d) of PSX Regulations",neutral,0.99,Regulatory Filing,director_disclosure,Statutory disclosure of director shareholding interest,director_disclosure
ILP,2023-02-24,12:12 PM,Interloop Limited,"Transmission of Half Year Report for the Period Ended December 31, 2022",neutral,0.97,Regulatory Filing,report_transmission,Transmission of annual or periodic financial report,financial_report
INIL,2023-02-24,10:25 AM,International Industries Limited,"Disclosure of Interest by a Director CEO, or Executive of a listed company and their Spouses and the Substantial Shareholders u/c 5.6.1.(d) of PSX Regulations",neutral,0.99,Regulatory Filing,director_disclosure,Statutory disclosure of director shareholding interest,director_disclosure
LUCK,2023-02-24,9:00 AM,Lucky Cement Limited,Purchase (Buy-Back) by Lucky Cement Limited of its own shares on 23-02-2023,neutral,0.6,Admin,unclassified,No matching rule — treated as neutral admin filing,unclassified
BAFL,2023-02-23,1:24 PM,Bank Alfalah Limited,Notice of Annual General Meeting of Bank Alfalah Limited,neutral,0.98,Corporate Event,agm_egm_notice,Notice of Annual or Extraordinary General Meeting,agm_egm
EFERT,2023-02-23,12:47 PM,Engro Fertilizers Limited,APPOINTMENT OF CHIEF FINANCIAL OFFICER,neutral,0.93,Corporate Event,executive_change,"Change, appointment, or resignation of chief executive, CFO, or secretary",ceo_cfo_change
ENGRO,2023-02-23,9:15 AM,Engro Corporation Limited,Reporting of Shares Purchased (Buy-Back) by Engro Corporation Limited,neutral,0.6,Admin,unclassified,No matching rule — treated as neutral admin filing,unclassified
FABL,2023-02-23,12:46 PM,Faysal Bank Limited,"Financial Results for the Year Ended December 31, 2022, of Faysal Bank Limited",neutral,0.95,Regulatory Filing,financial_results_filing,Submission of financial results — no sentiment signal in title alone,financial_results
FCCL,2023-02-23,12:50 PM,Fauji Cement Company Limited,Presentation of Corporate Briefing Session of FCCL,neutral,0.95,Corporate Event,corporate_briefing,Corporate or investor briefing session,corporate_briefing
HUBC,2023-02-23,2:46 PM,The Hub Power Company Limited,Disclosure of Material Information,neutral,0.88,Regulatory Filing,material_information,Material information disclosure or media clarification,material_info
LUCK,2023-02-23,9:15 AM,Lucky Cement Limited,Purchase (Buy-Back) by Lucky Cement Limited of its own shares on 22-02-2023,neutral,0.6,Admin,unclassified,No matching rule — treated as neutral admin filing,unclassified
OGDC,2023-02-23,3:29 PM,Oil & Gas Development Company Limited,MANAGING DIRECTOR / CEO,neutral,0.6,Admin,unclassified,No matching rule — treated as neutral admin filing,unclassified
TGL,2023-02-23,1:35 PM,Tariq Glass Industries Limited,"Financial Results for the Quarter Ended December 31, 2022",neutral,0.95,Regulatory Filing,financial_results_filing,Submission of financial results — no sentiment signal in title alone,financial_results
DGKC,2023-02-22,2:34 PM,D.G. Khan Cement Company Limited,"FINANCIAL RESULTS FOR THE HALF YEAR ENDED DECEMBER 31, 2022",neutral,0.95,Regulatory Filing,financial_results_filing,Submission of financial results — no sentiment signal in title alone,financial_results
ENGRO,2023-02-22,9:19 AM,Engro Corporation Limited,Reporting of Shares Purchased (Buy-Back) by Engro Corporation Limited,neutral,0.6,Admin,unclassified,No matching rule — treated as neutral admin filing,unclassified
HBL,2023-02-22,1:34 PM,Habib Bank Limited,"Disclosure of Interest by a Director CEO, or Executive of a listed company and their Spouses and the Substantial Shareholders u/c 5.6.1.(d) of PSX Regulations",neutral,0.99,Regulatory Filing,director_disclosure,Statutory disclosure of director shareholding interest,director_disclosure
LUCK,2023-02-22,9:15 AM,Lucky Cement Limited,Purchase (Buy-Back) by Lucky Cement Limited of its own shares on 21-02-2023,neutral,0.6,Admin,unclassified,No matching rule — treated as neutral admin filing,unclassified
MLCF,2023-02-22,9:17 AM,Maple Leaf Cement Factory Limited,Financial Results for the Quarter Ended 31.12.2022,neutral,0.95,Regulatory Filing,financial_results_filing,Submission of financial results — no sentiment signal in title alone,financial_results
OGDC,2023-02-22,12:39 PM,Oil & Gas Development Company Limited,"FINANCIAL RESULTS FOR THE HALF YEAR ENDED DECEMBER 31, 2022",neutral,0.95,Regulatory Filing,financial_results_filing,Submission of financial results — no sentiment signal in title alone,financial_results
UBL,2023-02-22,2:29 PM,United Bank Limited,Financial Results for the Year Ended 31 December 2022,neutral,0.95,Regulatory Filing,financial_results_filing,Submission of financial results — no sentiment signal in title alone,financial_results
ENGRO,2023-02-21,9:15 AM,Engro Corporation Limited,Reporting of Shares Purchased (Buy-Back) by Engro Corporation Limited,neutral,0.6,Admin,unclassified,No matching rule — treated as neutral admin filing,unclassified
FCCL,2023-02-21,11:52 AM,Fauji Cement Company Limited,Corporate Briefing Session,neutral,0.95,Corporate Event,corporate_briefing,Corporate or investor briefing session,corporate_briefing
INIL,2023-02-21,12:48 PM,International Industries Limited,"Disclosure of Interest by a Director CEO, or Executive of a listed company and their Spouses and the Substantial Shareholders u/c 5.6.1.(d) of PSX Regulations",neutral,0.99,Regulatory Filing,director_disclosure,Statutory disclosure of director shareholding interest,director_disclosure
LUCK,2023-02-21,9:15 AM,Lucky Cement Limited,Purchase (Buy-Back) by Lucky Cement Limited of its own shares on 20-02-2023,neutral,0.6,Admin,unclassified,No matching rule — treated as neutral admin filing,unclassified
SEARL,2023-02-21,10:58 AM,The Searle Company Limited,Board Meeting,neutral,0.98,Corporate Event,board_meeting_notice,Notice of board of directors meeting,board_meeting
HUBC,2023-02-20,3:02 PM,The Hub Power Company Limited,Certified copy of the Resolution of Members of The Hub Power Company Limited - EOGM,positive,0.87,Corporate Event,award_achievement,"Company wins award, achieves milestone, or record performance",award_win
ILP,2023-02-20,3:16 PM,Interloop Limited,Notice to the Shareholders to File Claim for Unclaimed Dividend (D-2 & D-3),neutral,0.88,Admin,miscellaneous_admin,Miscellaneous administrative or regulatory filing,misc_admin
ILP,2023-02-20,3:13 PM,Interloop Limited,"Disclosure of Interest by a Director CEO, or Executive of a listed company and their Spouses and the Substantial Shareholders u/c 5.6.1.(d) of PSX Regulations",neutral,0.99,Regulatory Filing,director_disclosure,Statutory disclosure of director shareholding interest,director_disclosure
LUCK,2023-02-20,9:17 AM,Lucky Cement Limited,Purchase (Buy-Back) by Lucky Cement Limited of its own shares on 17-02-2023,neutral,0.6,Admin,unclassified,No matching rule — treated as neutral admin filing,unclassified
NBP,2023-02-20,11:02 AM,National Bank of Pakistan,BOARD MEETING,neutral,0.98,Corporate Event,board_meeting_notice,Notice of board of directors meeting,board_meeting
PRL,2023-02-20,12:19 PM,Pakistan Refinery Limited,Transmission of Quarterly Results for the Period ended 31st December 2022,neutral,0.95,Regulatory Filing,financial_results_filing,Submission of financial results — no sentiment signal in title alone,financial_results
ENGRO,2023-02-17,9:04 AM,Engro Corporation Limited,Reporting of Shares Purchased (Buy-Back) by Engro Corporation Limited,neutral,0.6,Admin,unclassified,No matching rule — treated as neutral admin filing,unclassified
FCCL,2023-02-17,12:50 PM,Fauji Cement Company Limited,Corporate Briefing Session,neutral,0.95,Corporate Event,corporate_briefing,Corporate or investor briefing session,corporate_briefing
HUBC,2023-02-17,9:05 AM,The Hub Power Company Limited,Disclosure of Material Information,neutral,0.88,Regulatory Filing,material_information,Material information disclosure or media clarification,material_info
LUCK,2023-02-17,9:00 AM,Lucky Cement Limited,Purchase (Buy-Back) by Lucky Cement Limited of its own shares on 16-02-2023,neutral,0.6,Admin,unclassified,No matching rule — treated as neutral admin filing,unclassified
PPL,2023-02-17,2:32 PM,Pakistan Petroleum Limited,Meeting of the Board of Directors and Closed Period,neutral,0.9,Corporate Event,meeting_logistics,"Change in meeting time, date, or closed period notification",meeting_logistics
PSO,2023-02-17,10:35 AM,Pakistan State Oil Company Limited,"Financial Results for the half year ended December 31, 2022",neutral,0.95,Regulatory Filing,financial_results_filing,Submission of financial results — no sentiment signal in title alone,financial_results
UBL,2023-02-17,3:22 PM,United Bank Limited,Corporate Analyst Briefing Session & December 2022 Annual Results Call United Bank Limited,neutral,0.95,Regulatory Filing,financial_results_filing,Submission of financial results — no sentiment signal in title alone,financial_results
ENGRO,2023-02-16,9:15 AM,Engro Corporation Limited,"FINANCIAL RESULTS FOR THE YEAR ENDED DECEMBER 31, 2022 (CONSOLIDATED AND STANDALONE)",neutral,0.95,Regulatory Filing,financial_results_filing,Submission of financial results — no sentiment signal in title alone,financial_results
LUCK,2023-02-16,9:15 AM,Lucky Cement Limited,Purchase (Buy-Back) by Lucky Cement Limited of its own shares 15-02-2023,neutral,0.6,Admin,unclassified,No matching rule — treated as neutral admin filing,unclassified
MEBL,2023-02-16,12:09 PM,Meezan Bank Limited,"FINANCIAL RESULTS FOR THE YEAR ENDED DECEMBER 31, 2022",neutral,0.95,Regulatory Filing,financial_results_filing,Submission of financial results — no sentiment signal in title alone,financial_results
TGL,2023-02-16,12:49 PM,Tariq Glass Industries Limited,Board Meeting,neutral,0.98,Corporate Event,board_meeting_notice,Notice of board of directors meeting,board_meeting
BAHL,2023-02-15,1:13 PM,Bank AL Habib Limited,"BAHL - Financial Results for the Year Ended December 31, 2022",neutral,0.95,Regulatory Filing,financial_results_filing,Submission of financial results — no sentiment signal in title alone,financial_results
CHCC,2023-02-15,12:37 PM,Cherat Cement Company Limited,"Financial Results for the Quarter Ended December 31, 2022",neutral,0.95,Regulatory Filing,financial_results_filing,Submission of financial results — no sentiment signal in title alone,financial_results
ENGRO,2023-02-15,3:16 PM,Engro Corporation Limited,Board Meeting In Progress,neutral,0.98,Corporate Event,board_meeting_notice,Notice of board of directors meeting,board_meeting
FABL,2023-02-15,12:39 PM,Faysal Bank Limited,Change of time of the meeting of Board of Directors of Faysal bank Limited,neutral,0.9,Corporate Event,meeting_logistics,"Change in meeting time, date, or closed period notification",meeting_logistics
HBL,2023-02-15,12:51 PM,Habib Bank Limited,"Board Meeting for Announcement of Financial Results for the Year Ended December 31, 2022",neutral,0.98,Corporate Event,board_meeting_notice,Notice of board of directors meeting,board_meeting
HUBC,2023-02-15,3:06 PM,The Hub Power Company Limited,Notice of Extraordinary General Meeting,neutral,0.98,Corporate Event,agm_egm_notice,Notice of Annual or Extraordinary General Meeting,agm_egm
HUBC,2023-02-15,2:45 PM,The Hub Power Company Limited,Board Meeting Rescheduled - The Hub Power Company Limited,negative,0.88,Corporate Event,meeting_cancellation,Board meeting or corporate event cancelled,cancellation
LUCK,2023-02-15,9:15 AM,Lucky Cement Limited,Purchase (Buy-Back) by Lucky Cement Limited of its own shares on 14-02-2023,neutral,0.6,Admin,unclassified,No matching rule — treated as neutral admin filing,unclassified
SHEL,2023-02-15,3:21 PM,Shell Pakistan Limited,"Disclosure of Interest by a Director CEO, or Executive of a listed company and their Spouses and the Substantial Shareholders u/c 5.6.1.(d) of PSX Regulations",neutral,0.99,Regulatory Filing,director_disclosure,Statutory disclosure of director shareholding interest,director_disclosure
DGKC,2023-02-14,2:47 PM,D.G. Khan Cement Company Limited,BOARD MEETING,neutral,0.98,Corporate Event,board_meeting_notice,Notice of board of directors meeting,board_meeting
FCCL,2023-02-14,12:57 PM,Fauji Cement Company Limited,"Financial Results for the Six Months Ended on December 31, 2022",neutral,0.95,Regulatory Filing,financial_results_filing,Submission of financial results — no sentiment signal in title alone,financial_results
ILP,2023-02-14,2:27 PM,Interloop Limited,"Financial Results for the Half Year Ended December 31, 2022",neutral,0.95,Regulatory Filing,financial_results_filing,Submission of financial results — no sentiment signal in title alone,financial_results
INIL,2023-02-14,10:00 AM,International Industries Limited,Transmission of Quarterly Report for the Period Ended 31-12-2022,neutral,0.97,Regulatory Filing,report_transmission,Transmission of annual or periodic financial report,financial_report
LUCK,2023-02-14,9:18 AM,Lucky Cement Limited,"Transmission of Quarterly Report for the period ended - December 31, 2022",neutral,0.97,Regulatory Filing,report_transmission,Transmission of annual or periodic financial report,financial_report
LUCK,2023-02-14,9:15 AM,Lucky Cement Limited,Purchase (Buy-Back) by Lucky Cement Limited of its own shares on 13-02-2023,neutral,0.6,Admin,unclassified,No matching rule — treated as neutral admin filing,unclassified
MLCF,2023-02-14,12:14 PM,Maple Leaf Cement Factory Limited,Board Meeting,neutral,0.98,Corporate Event,board_meeting_notice,Notice of board of directors meeting,board_meeting
EFERT,2023-02-13,2:26 PM,Engro Fertilizers Limited,Analyst Briefing,neutral,0.95,Corporate Event,corporate_briefing,Corporate or investor briefing session,corporate_briefing
LUCK,2023-02-13,9:15 AM,Lucky Cement Limited,Purchase (Buy-Back) by Lucky Cement Limited of its own shares on 10.02.2023,neutral,0.6,Admin,unclassified,No matching rule — treated as neutral admin filing,unclassified
MCB,2023-02-13,3:17 PM,MCB Bank Limited,"Text of Advertisement Prior to Publication - Requirement for Zakat Declaration to claim exemption under Zakat and Ushr Ordinance, 1980",neutral,0.92,Admin,newspaper_publication,Newspaper advertisement or notice publication,newspaper_notice
MCB,2023-02-13,3:14 PM,MCB Bank Limited,"Text of Advertisement Prior to Publication - Final Cash Dividend, 2022 and Mandatory Requirement of Valid CNIC and IBAN",positive,0.97,Shareholder Returns,dividend_payment,Dividend or bonus share credited / dispatched to shareholders,dividend_payment
POL,2023-02-13,3:14 PM,Pakistan Oilfields Limited,INTIMATION OF BOARD MEETING & NOTIFICATION OF CLOSED PERIOD,neutral,0.98,Corporate Event,board_meeting_notice,Notice of board of directors meeting,board_meeting
PSO,2023-02-13,1:01 PM,Pakistan State Oil Company Limited,Change of Member - Board of Management,neutral,0.6,Admin,unclassified,No matching rule — treated as neutral admin filing,unclassified
SYS,2023-02-13,3:12 PM,Systems Limited,"Disclosure of Interest by a Director CEO, or Executive of a listed company and their Spouses and the Substantial Shareholders u/c 5.6.1.(d) of PSX Regulations",neutral,0.99,Regulatory Filing,director_disclosure,Statutory disclosure of director shareholding interest,director_disclosure
UBL,2023-02-13,11:34 AM,United Bank Limited,BOARD MEETING OF UNITED BANK LIMITED,neutral,0.7,Admin,bare_company_name,Title contains only company name — no sentiment signal,bare_company_name
UBL,2023-02-13,10:20 AM,United Bank Limited,BOARD MEETING OF UNITED BANK LIMITED REVOKED,neutral,0.82,Admin,filing_revoked,Previous filing revoked — usually an administrative correction,revocation
FABL,2023-02-10,11:49 AM,Faysal Bank Limited,Board of Directors' Meeting of Faysal Bank Limited,neutral,0.6,Admin,unclassified,No matching rule — treated as neutral admin filing,unclassified
HBL,2023-02-10,10:03 AM,Habib Bank Limited,"Disclosure of Interest by a Director CEO, or Executive of a listed company and their Spouses and the Substantial Shareholders u/c 5.6.1.(d) of PSX Regulations",neutral,0.99,Regulatory Filing,director_disclosure,Statutory disclosure of director shareholding interest,director_disclosure
LUCK,2023-02-10,9:00 AM,Lucky Cement Limited,Purchase (Buy-Back) by Lucky Cement Limited of its own shares On 09-02-2023,neutral,0.6,Admin,unclassified,No matching rule — treated as neutral admin filing,unclassified
OGDC,2023-02-10,12:31 PM,Oil & Gas Development Company Limited,BOARD MEETING AND CLOSE PERIOD,neutral,0.98,Corporate Event,board_meeting_notice,Notice of board of directors meeting,board_meeting
PSO,2023-02-10,9:21 AM,Pakistan State Oil Company Limited,Board Meeting,neutral,0.98,Corporate Event,board_meeting_notice,Notice of board of directors meeting,board_meeting
ATRL,2023-02-09,11:14 AM,Attock Refinery Limited,ARL BOARD MEETING AND CLOSED PERIOD,neutral,0.98,Corporate Event,board_meeting_notice,Notice of board of directors meeting,board_meeting
EFERT,2023-02-09,2:07 PM,Engro Fertilizers Limited,"Financial Results for the Year Ended December 31, 2022",neutral,0.95,Regulatory Filing,financial_results_filing,Submission of financial results — no sentiment signal in title alone,financial_results
ENGRO,2023-02-09,11:46 AM,Engro Corporation Limited,Analyst Briefing of Engro Corporation Limited for the year of 2022 Business Results,neutral,0.95,Corporate Event,corporate_briefing,Corporate or investor briefing session,corporate_briefing
HUBC,2023-02-09,11:17 AM,The Hub Power Company Limited,Material Information,neutral,0.88,Regulatory Filing,material_information,Material information disclosure or media clarification,material_info
LUCK,2023-02-09,9:15 AM,Lucky Cement Limited,Purchase (Buy-Back) by Lucky Cement Limited of its own shares on 08-02-2023,neutral,0.6,Admin,unclassified,No matching rule — treated as neutral admin filing,unclassified
HUBC,2023-02-08,11:08 AM,The Hub Power Company Limited,Intimation for Book Closure 3rd Sukuk Issue - The Hub Power Company Limited,neutral,0.97,Admin,book_closure,Book closure notice for dividend or entitlement,book_closure
ILP,2023-02-08,11:33 AM,Interloop Limited,"Disclosure of Interest by a Director CEO, or Executive of a listed company and their Spouses and the Substantial Shareholders u/c 5.6.1.(d) of PSX Regulations",neutral,0.99,Regulatory Filing,director_disclosure,Statutory disclosure of director shareholding interest,director_disclosure
MCB,2023-02-08,3:45 PM,MCB Bank Limited,MCB | MCB Bank Limited - Appointment of Director,neutral,0.94,Corporate Event,appointment,Appointment or reappointment of board member or executive,appointment
MCB,2023-02-08,3:29 PM,MCB Bank Limited,Appointment of Director,neutral,0.94,Corporate Event,appointment,Appointment or reappointment of board member or executive,appointment
MCB,2023-02-08,3:27 PM,MCB Bank Limited,"Financial Results for the Year Ended December 31, 2022",neutral,0.95,Regulatory Filing,financial_results_filing,Submission of financial results — no sentiment signal in title alone,financial_results
MCB,2023-02-08,1:26 PM,MCB Bank Limited,"Financial Results for the Year Ended December 31, 2022 REVOKED",neutral,0.82,Admin,filing_revoked,Previous filing revoked — usually an administrative correction,revocation
BAHL,2023-02-07,2:50 PM,Bank AL Habib Limited,"BAHL - Notice of Board Meeting for the year ended December 31, 2022",neutral,0.98,Corporate Event,board_meeting_notice,Notice of board of directors meeting,board_meeting
FFC,2023-02-07,3:09 PM,Fauji Fertilizer Company Limited,FIRST CORPORATE BRIEFING - 2023,neutral,0.95,Corporate Event,corporate_briefing,Corporate or investor briefing session,corporate_briefing
HBL,2023-02-07,12:19 PM,Habib Bank Limited,"Disclosure of Interest by a Director CEO, or Executive of a listed company and their Spouses and the Substantial Shareholders u/c 5.6.1.(d) of PSX Regulations",neutral,0.99,Regulatory Filing,director_disclosure,Statutory disclosure of director shareholding interest,director_disclosure
HBL,2023-02-07,9:15 AM,Habib Bank Limited,Material Information,neutral,0.88,Regulatory Filing,material_information,Material information disclosure or media clarification,material_info
LUCK,2023-02-07,9:15 AM,Lucky Cement Limited,Purchase (Buy-Back) by Lucky Cement Limited of its own shares on 06-02-2023,neutral,0.6,Admin,unclassified,No matching rule — treated as neutral admin filing,unclassified
PRL,2023-02-07,1:25 PM,Pakistan Refinery Limited,"Financial Results for the Half year ended December 31, 2022",neutral,0.95,Regulatory Filing,financial_results_filing,Submission of financial results — no sentiment signal in title alone,financial_results
PSO,2023-02-07,12:36 PM,Pakistan State Oil Company Limited,Change of Member - Board of Management,neutral,0.6,Admin,unclassified,No matching rule — treated as neutral admin filing,unclassified
